Title,Artist,UG_link
"""Shape of You""",Ed Sheeran,https://tabs.ultimate-guitar.com/tab/ed-sheeran/shape-of-you-chords-1928431
"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,https://tabs.ultimate-guitar.com/tab/luis-fonsi/despacito-chords-1985589
"""That's What I Like""",Bruno Mars,https://tabs.ultimate-guitar.com/tab/bruno-mars/thats-what-i-like-chords-1905087
"""Humble""",Kendrick Lamar,https://tabs.ultimate-guitar.com/tab/kendrick-lamar/humble-chords-1973023
"""Something Just Like This""",The Chainsmokers and Coldplay,not found
"""Bad and Boujee""",Migos featuring Lil Uzi Vert,https://tabs.ultimate-guitar.com/tab/migos/bad-and-boujee-chords-1948667
"""Closer""",The Chainsmokers featuring Halsey,https://tabs.ultimate-guitar.com/tab/the-chainsmokers/closer-chords-1863579
"""Body Like a Back Road""",Sam Hunt,https://tabs.ultimate-guitar.com/tab/sam-hunt/body-like-a-back-road-chords-1938991
"""Believer""",Imagine Dragons,https://tabs.ultimate-guitar.com/tab/imagine-dragons/believer-chords-1941459
"""Congratulations""",Post Malone featuring Quavo,https://tabs.ultimate-guitar.com/tab/post-malone/congratulations-chords-1912135
"""Say You Won't Let Go""",James Arthur,https://tabs.ultimate-guitar.com/tab/james-arthur/say-you-wont-let-go-chords-1871951
"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",https://tabs.ultimate-guitar.com/tab/dj-khaled/im-the-one-chords-1988199
"""XO Tour Llif3""",Lil Uzi Vert,https://tabs.ultimate-guitar.com/tab/lil-uzi-vert/xo-tour-llif3-chords-1963879
"""Mask Off""",Future,https://tabs.ultimate-guitar.com/tab/future/mask-off-chords-1975265
"""Unforgettable""",French Montana featuring Swae Lee,https://tabs.ultimate-guitar.com/tab/french-montana/unforgettable-chords-1981129
"""24K Magic""",Bruno Mars,https://tabs.ultimate-guitar.com/tab/bruno-mars/24k-magic-chords-1885069
"""Stay""",Zedd and Alessia Cara,https://tabs.ultimate-guitar.com/tab/zedd/stay-chords-1953137
"""Wild Thoughts""",DJ Khaled featuring Rihanna and Bryson Tiller,not found
"""Black Beatles""",Rae Sremmurd featuring Gucci Mane,https://tabs.ultimate-guitar.com/tab/rae-sremmurd/black-beatles-chords-1877454
"""Starboy""",The Weeknd featuring Daft Punk,https://tabs.ultimate-guitar.com/tab/the-weeknd/starboy-chords-1877405
"""Location""",Khalid,https://tabs.ultimate-guitar.com/tab/khalid/location-chords-1952459
"""Attention""",Charlie Puth,https://tabs.ultimate-guitar.com/tab/charlie-puth/attention-chords-1984321
"""There's Nothing Holdin' Me Back""",Shawn Mendes,https://tabs.ultimate-guitar.com/tab/shawn-mendes/theres-nothing-holdin-me-back-chords-1983837
"""Bodak Yellow""",Cardi B,https://tabs.ultimate-guitar.com/tab/cardi-b/bodak-yellow-chords-2073745
"""Redbone""",Childish Gambino,https://tabs.ultimate-guitar.com/tab/childish-gambino/redbone-chords-1905186
"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,https://tabs.ultimate-guitar.com/tab/zayn/i-dont-wanna-live-forever-chords-1908714
"""It Ain't Me""",Kygo and Selena Gomez,not found
"""iSpy""",Kyle featuring Lil Yachty,https://tabs.ultimate-guitar.com/tab/kyle/ispy-chords-1952027
"""Issues""",Julia Michaels,https://tabs.ultimate-guitar.com/tab/julia-michaels/issues-chords-1934753
"""Scars to Your Beautiful""",Alessia Cara,https://tabs.ultimate-guitar.com/tab/alessia-cara/scars-to-your-beautiful-chords-1789184
"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,not found
"""Slow Hands""",Niall Horan,https://tabs.ultimate-guitar.com/tab/niall-horan/slow-hands-chords-1991181
"""Love on the Brain""",Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/love-on-the-brain-chords-1809471
"""I Feel It Coming""",The Weeknd featuring Daft Punk,https://tabs.ultimate-guitar.com/tab/the-weeknd/i-feel-it-coming-chords-1904226
"""Bounce Back""",Big Sean,https://tabs.ultimate-guitar.com/tab/big-sean/bounce-back-chords-1950295
"""Strip That Down""",Liam Payne featuring Quavo,https://tabs.ultimate-guitar.com/tab/liam-payne/strip-that-down-chords-2001533
"""Fake Love""",Drake,not found
"""Don't Wanna Know""",Maroon 5 featuring Kendrick Lamar,https://tabs.ultimate-guitar.com/tab/maroon-5/dont-wanna-know-chords-1888585
"""Look What You Made Me Do""",Taylor Swift,https://tabs.ultimate-guitar.com/tab/taylor-swift/look-what-you-made-me-do-chords-2123607
"""Castle on the Hill""",Ed Sheeran,not found
"""Bad Things""",Machine Gun Kelly and Camila Cabello,not found
"""Paris""",The Chainsmokers,not found
"""Side to Side""",Ariana Grande featuring Nicki Minaj,https://tabs.ultimate-guitar.com/tab/ariana-grande/side-to-side-chords-1844952
"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie,https://tabs.ultimate-guitar.com/tab/clean-bandit/rockabye-chords-1897251
"""Feel It Still""",Portugal. The Man,https://tabs.ultimate-guitar.com/tab/portugal-the-man/feel-it-still-chords-1960449
