Title,Artist,UG_link
"""God's Plan""",Drake,https://tabs.ultimate-guitar.com/tab/drake/gods-plan-chords-2293741
"""Perfect""",Ed Sheeran,https://tabs.ultimate-guitar.com/tab/ed-sheeran/perfect-chords-1956589
"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,https://tabs.ultimate-guitar.com/tab/bebe-rexha/meant-to-be-chords-2107185
"""Havana""",Camila Cabello featuring Young Thug,https://tabs.ultimate-guitar.com/tab/camila-cabello/havana-chords-2105155
"""Rockstar""",Post Malone featuring 21 Savage,https://tabs.ultimate-guitar.com/tab/post-malone/rockstar-chords-2151439
"""Psycho""",Post Malone featuring Ty Dolla Sign,not found
"""I Like It""","Cardi B, Bad Bunny and J Balvin",not found
"""The Middle""","Zedd, Maren Morris and Grey",not found
"""In My Feelings""",Drake,https://tabs.ultimate-guitar.com/tab/drake/in-my-feelings-chords-2423413
"""Girls Like You""",Maroon 5 featuring Cardi B,https://tabs.ultimate-guitar.com/tab/misc-mashups/maroon-5-memories-maroon-5-girls-like-you-lewis-capaldi-someone-you-love-chords-3853469
"""Nice for What""",Drake,https://tabs.ultimate-guitar.com/tab/drake/nice-for-what-chords-2362695
"""Lucid Dreams""",Juice Wrld,https://tabs.ultimate-guitar.com/tab/juice-wrld/lucid-dreams-chords-2397395
"""Better Now""",Post Malone,https://tabs.ultimate-guitar.com/tab/post-malone/better-now-chords-2375859
"""Finesse""",Bruno Mars featuring Cardi B,not found
"""Boo'd Up""",Ella Mai,not found
"""New Rules""",Dua Lipa,https://tabs.ultimate-guitar.com/tab/dua-lipa/new-rules-official-2420379
"""Sad!""",XXXTentacion,https://tabs.ultimate-guitar.com/tab/xxxtentacion/sad-chords-2341243
"""Never Be the Same""",Camila Cabello,not found
"""Love Lies""",Khalid and Normani,https://tabs.ultimate-guitar.com/tab/khalid/love-lies-chords-2319499
"""No Tears Left to Cry""",Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/no-tears-left-to-cry-chords-2371739
"""Mine""",Bazzi,https://tabs.ultimate-guitar.com/tab/bazzi/mine-chords-2295635
"""Thunder""",Imagine Dragons,https://tabs.ultimate-guitar.com/tab/imagine-dragons/thunder-chords-1987397
"""Look Alive""",BlocBoy JB featuring Drake,https://tabs.ultimate-guitar.com/tab/blocboy-jb/look-alive-chords-2317763
"""Delicate""",Taylor Swift,https://tabs.ultimate-guitar.com/tab/taylor-swift/delicate-chords-2230835
"""Yes Indeed""",Lil Baby and Drake,not found
"""Friends""",Marshmello and Anne-Marie,https://tabs.ultimate-guitar.com/tab/marshmello/friends-chords-2315065
"""Bad at Love""",Halsey,https://tabs.ultimate-guitar.com/tab/halsey/bad-at-love-chords-2018731
"""Taste""",Tyga featuring Offset,not found
"""Let You Down""",NF,https://tabs.ultimate-guitar.com/tab/nf/let-you-down-chords-2165807
"""No Limit""",G-Eazy featuring ASAP Rocky and Cardi B,not found
"""Fefe""",6ix9ine featuring Nicki Minaj and Murda Beatz,not found
"""Tequila""",Dan + Shay,https://tabs.ultimate-guitar.com/tab/dan-shay/tequila-chords-2279411
"""Feel It Still""",Portugal. The Man,https://tabs.ultimate-guitar.com/tab/portugal-the-man/feel-it-still-chords-1960449
"""MotorSport""","Migos, Nicki Minaj and Cardi B",https://tabs.ultimate-guitar.com/tab/migos/motorsport-chords-2218809
"""I Like Me Better""",Lauv,https://tabs.ultimate-guitar.com/tab/lauv/i-like-me-better-official-2455994
"""Youngblood""",5 Seconds of Summer,not found
"""Whatever It Takes""",Imagine Dragons,https://tabs.ultimate-guitar.com/tab/imagine-dragons/whatever-it-takes-chords-1993695
"""Ric Flair Drip""",Offset and Metro Boomin,https://tabs.ultimate-guitar.com/tab/offset-rapper/ric-flair-drip-chords-2295467
"""I Fall Apart""",Post Malone,https://tabs.ultimate-guitar.com/tab/post-malone/i-fall-apart-chords-1911193
"""Pray for Me""",The Weeknd and Kendrick Lamar,not found
"""Back to You""",Selena Gomez,not found
"""Sicko Mode""",Travis Scott,https://tabs.ultimate-guitar.com/tab/travis-scott/sicko-mode-chords-5099155
"""Walk It Talk It""",Migos featuring Drake,not found
"""Gucci Gang""",Lil Pump,https://tabs.ultimate-guitar.com/tab/lil-pump/gucci-gang-chords-2141901
"""Him & I""",G-Eazy and Halsey,not found
"""In My Blood""",Shawn Mendes,https://tabs.ultimate-guitar.com/tab/shawn-mendes/in-my-blood-chords-2346513
"""All the Stars""",Kendrick Lamar and SZA,not found
"""Stir Fry""",Migos,https://tabs.ultimate-guitar.com/tab/migos/stir-fry-chords-2261181
"""Too Good at Goodbyes""",Sam Smith,https://tabs.ultimate-guitar.com/tab/sam-smith/too-good-at-goodbyes-chords-2142281
"""Love""",Kendrick Lamar featuring Zacari,https://tabs.ultimate-guitar.com/tab/kendrick-lamar/love-chords-1984803
"""This Is America""",Childish Gambino,https://tabs.ultimate-guitar.com/tab/childish-gambino/this-is-america-chords-2380945
"""Nonstop""",Drake,not found
"""Heaven""",Kane Brown,https://tabs.ultimate-guitar.com/tab/kane-brown/heaven-chords-2219813
"""Bodak Yellow""",Cardi B,https://tabs.ultimate-guitar.com/tab/cardi-b/bodak-yellow-chords-2073745
"""Freaky Friday""",Lil Dicky featuring Chris Brown,https://tabs.ultimate-guitar.com/tab/lil-dicky/freaky-friday-chords-2361617
"""Gummo""",6ix9ine,not found
"""Plug Walk""",Rich the Kid,https://tabs.ultimate-guitar.com/tab/rich-kids/plug-walk-chords-2376355
"""Wait""",Maroon 5,not found
"""Be Careful""",Cardi B,https://tabs.ultimate-guitar.com/tab/cardi-b/be-careful-chords-2356197
"""Wolves""",Selena Gomez and Marshmello,https://tabs.ultimate-guitar.com/tab/selena-gomez/wolves-chords-2217443
"""Bartier Cardi""",Cardi B featuring 21 Savage,https://tabs.ultimate-guitar.com/tab/cardi-b/bartier-cardi-chords-2261915
"""God Is a Woman""",Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/god-is-a-woman-chords-2424109
"""Big Bank""","YG featuring 2 Chainz, Nicki Minaj and Big Sean",not found
"""Sorry Not Sorry""",Demi Lovato,https://tabs.ultimate-guitar.com/tab/demi-lovato/sorry-not-sorry-chords-2081331
"""How Long""",Charlie Puth,https://tabs.ultimate-guitar.com/tab/charlie-puth/how-long-official-2519523
"""Lights Down Low""",Max featuring Gnash,https://tabs.ultimate-guitar.com/tab/max-max-schneider/lights-down-low-chords-1833855
"""Young Dumb & Broke""",Khalid,https://tabs.ultimate-guitar.com/tab/khalid/young-dumb-and-broke-chords-1986715
"""One Kiss""",Calvin Harris and Dua Lipa,https://tabs.ultimate-guitar.com/tab/calvin-harris/one-kiss-chords-2361607
"""Natural""",Imagine Dragons,https://tabs.ultimate-guitar.com/tab/imagine-dragons/natural-chords-2427609
"""You Make It Easy""",Jason Aldean,https://tabs.ultimate-guitar.com/tab/jason-aldean/you-make-it-easy-chords-2299241
"""Shape of You""",Ed Sheeran,https://tabs.ultimate-guitar.com/tab/ed-sheeran/shape-of-you-chords-1928431
"""I Get the Bag""",Gucci Mane featuring Migos,not found
"""No Brainer""","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo",not found
"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,not found
"""Sky Walker""",Miguel featuring Travis Scott,https://tabs.ultimate-guitar.com/tab/miguel/sky-walker-chords-2123785
"""Marry Me""",Thomas Rhett,https://tabs.ultimate-guitar.com/tab/thomas-rhett/marry-me-chords-2146607
"""Eastside""","Benny Blanco, Halsey and Khalid",https://tabs.ultimate-guitar.com/tab/benny-blanco/eastside-chords-2425199
"""Call Out My Name""",The Weeknd,not found
"""King's Dead""","Jay Rock, Kendrick Lamar, Future and James Blake",not found
"""Happier""",Marshmello and Bastille,https://tabs.ultimate-guitar.com/tab/marshmello/happier-chords-2451517
"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and 
Ozuna",not found
"""Simple""",Florida Georgia Line,https://tabs.ultimate-guitar.com/tab/florida-georgia-line/simple-chords-2397403
"""Lemon""",N.E.R.D and Rihanna,not found
