No.,Title,Artist,Tempo
1,"""God's Plan""",Drake,    77  BPM 
2,"""Perfect""",Ed Sheeran,    97  BPM 
3,"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,    154  BPM 
4,"""Havana""",Camila Cabello featuring Young Thug,    105  BPM 
5,"""Rockstar""",Post Malone featuring 21 Savage,    160  BPM 
6,"""Psycho""",Post Malone featuring Ty Dolla Sign,    140  BPM 
7,"""I Like It""","Cardi B, Bad Bunny and J Balvin",NOT FOUND
8,"""The Middle""","Zedd, Maren Morris and Grey",NOT FOUND
9,"""In My Feelings""",Drake,    91  BPM 
10,"""Girls Like You""",Maroon 5 featuring Cardi B,    60  BPM 
11,"""Nice for What""",Drake,    93  BPM 
12,"""Lucid Dreams""",Juice Wrld,    84  BPM 
13,"""Better Now""",Post Malone,    145  BPM 
14,"""Finesse""",Bruno Mars featuring Cardi B,    105  BPM 
15,"""Boo'd Up""",Ella Mai,    81  BPM 
16,"""New Rules""",Dua Lipa,    116  BPM 
17,"""Sad!""",XXXTentacion,    150  BPM 
18,"""Never Be the Same""",Camila Cabello,    130  BPM 
19,"""Love Lies""",Khalid and Normani,    144  BPM 
20,"""No Tears Left to Cry""",Ariana Grande,    122  BPM 
21,"""Mine""",Bazzi,    143  BPM 
22,"""Thunder""",Imagine Dragons,    168  BPM 
23,"""Look Alive""",BlocBoy JB featuring Drake,NOT FOUND
24,"""Delicate""",Taylor Swift,    95  BPM 
25,"""Yes Indeed""",Lil Baby and Drake,    120  BPM 
26,"""Friends""",Marshmello and Anne-Marie,    95  BPM 
27,"""Bad at Love""",Halsey,    118  BPM 
28,"""Taste""",Tyga featuring Offset,    98  BPM 
29,"""Let You Down""",NF,    148  BPM 
30,"""No Limit""",G-Eazy featuring ASAP Rocky and Cardi B,    176  BPM 
31,"""Fefe""",6ix9ine featuring Nicki Minaj and Murda Beatz,    126  BPM 
32,"""Tequila""",Dan + Shay,    86  BPM 
33,"""Feel It Still""",Portugal. The Man,NOT FOUND
