No.,Title,Artist,Tempo
1,"""Shape of You""",Ed Sheeran,    96  BPM 
2,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,    89  BPM 
3,"""That's What I Like""",Bruno Mars,    134  BPM 
4,"""Humble""",Kendrick Lamar,    150  BPM 
5,"""Something Just Like This""",The Chainsmokers and Coldplay,    103  BPM 
6,"""Bad and Boujee""",Migos featuring Lil Uzi Vert,NOT FOUND
7,"""Closer""",The Chainsmokers featuring Halsey,    95  BPM 
8,"""Body Like a Back Road""",Sam Hunt,    99  BPM 
9,"""Believer""",Imagine Dragons,    125  BPM 
10,"""Congratulations""",Post Malone featuring Quavo,    123  BPM 
11,"""Say You Won't Let Go""",James Arthur,    85  BPM 
12,"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",    81  BPM 
13,"""XO Tour Llif3""",Lil Uzi Vert,NOT FOUND
14,"""Mask Off""",Future,    150  BPM 
15,"""Unforgettable""",French Montana featuring Swae Lee,    98  BPM 
16,"""24K Magic""",Bruno Mars,NOT FOUND
17,"""Stay""",Zedd and Alessia Cara,    102  BPM 
18,"""Wild Thoughts""",DJ Khaled featuring Rihanna and Bryson Tiller,NOT FOUND
19,"""Black Beatles""",Rae Sremmurd featuring Gucci Mane,    146  BPM 
20,"""Starboy""",The Weeknd featuring Daft Punk,    186  BPM 
21,"""Location""",Khalid,    80  BPM 
22,"""Attention""",Charlie Puth,    100  BPM 
23,"""There's Nothing Holdin' Me Back""",Shawn Mendes,    122  BPM 
24,"""Bodak Yellow""",Cardi B,    125  BPM 
25,"""Redbone""",Childish Gambino,    80  BPM 
26,"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,NOT FOUND
27,"""It Ain't Me""",Kygo and Selena Gomez,    100  BPM 
28,"""iSpy""",Kyle featuring Lil Yachty,NOT FOUND
29,"""Issues""",Julia Michaels,    114  BPM 
30,"""Scars to Your Beautiful""",Alessia Cara,    97  BPM 
31,"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,NOT FOUND
32,"""Slow Hands""",Niall Horan,    86  BPM 
33,"""Love on the Brain""",Rihanna,    172  BPM 
34,"""I Feel It Coming""",The Weeknd featuring Daft Punk,    93  BPM 
35,"""Bounce Back""",Big Sean,    82  BPM 
36,"""Strip That Down""",Liam Payne featuring Quavo,    106  BPM 
37,"""Fake Love""",Drake,    134  BPM 
