No.,Title,Artist,Top_Tags
1,"""Shape of You""",Ed Sheeran,"acoustic, british, singer-songwriter"
2,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Unknown
3,"""That's What I Like""",Bruno Mars,"pop, rnb, male vocalists"
4,"""Humble""",Kendrick Lamar,"Hip-Hop, rap, seen live"
5,"""Something Just Like This""",The Chainsmokers and Coldplay,Unknown
6,"""Bad and Boujee""",Migos featuring Lil Uzi Vert,"Hip-Hop, trap, rap"
7,"""Closer""",The Chainsmokers featuring Halsey,"electronic, pop, House"
8,"""Body Like a Back Road""",Sam Hunt,"country, pop, not country"
9,"""Believer""",Imagine Dragons,"indie, indie rock, alternative"
10,"""Congratulations""",Post Malone featuring Quavo,"Hip-Hop, rap, trap"
11,"""Say You Won't Let Go""",James Arthur,"pop, british, indie"
12,"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne","Hip-Hop, rap, hip hop"
13,"""XO Tour Llif3""",Lil Uzi Vert,"trap, rap, Hip-Hop"
14,"""Mask Off""",Future,"Hip-Hop, rap, trap"
15,"""Unforgettable""",French Montana featuring Swae Lee,"Hip-Hop, rap, hip hop"
16,"""24K Magic""",Bruno Mars,"pop, rnb, male vocalists"
17,"""Stay""",Zedd and Alessia Cara,Unknown
18,"""Wild Thoughts""",DJ Khaled featuring Rihanna and Bryson Tiller,"Hip-Hop, rap, hip hop"
19,"""Black Beatles""",Rae Sremmurd featuring Gucci Mane,"Hip-Hop, rap, hip hop"
20,"""Starboy""",The Weeknd featuring Daft Punk,"rnb, electronic, Canadian"
21,"""Location""",Khalid,"rnb, pop, soul"
22,"""Attention""",Charlie Puth,"pop, rnb, soul"
23,"""There's Nothing Holdin' Me Back""",Shawn Mendes,"pop, Canadian, seen live"
24,"""Bodak Yellow""",Cardi B,"Hip-Hop, rap, trap"
25,"""Redbone""",Childish Gambino,"Hip-Hop, rap, seen live"
26,"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,Unknown
27,"""It Ain't Me""",Kygo and Selena Gomez,Unknown
28,"""iSpy""",Kyle featuring Lil Yachty,"Hip-Hop, rap, rnb"
29,"""Issues""",Julia Michaels,"pop, female vocalists, singer-songwriter"
30,"""Scars to Your Beautiful""",Alessia Cara,"pop, soul, rnb"
31,"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,"Hip-Hop, rap, hip hop"
32,"""Slow Hands""",Niall Horan,"pop, irish, folk"
33,"""Love on the Brain""",Rihanna,"pop, rnb, female vocalists"
34,"""I Feel It Coming""",The Weeknd featuring Daft Punk,"rnb, electronic, Canadian"
35,"""Bounce Back""",Big Sean,"Hip-Hop, rap, hip hop"
36,"""Strip That Down""",Liam Payne featuring Quavo,"pop, FLOP, one direction"
37,"""Fake Love""",Drake,"Hip-Hop, rap, rnb"
38,"""Don't Wanna Know""",Maroon 5 featuring Kendrick Lamar,"rock, pop, pop rock"
39,"""Look What You Made Me Do""",Taylor Swift,"country, pop, female vocalists"
40,"""Castle on the Hill""",Ed Sheeran,"acoustic, british, singer-songwriter"
41,"""Bad Things""",Machine Gun Kelly and Camila Cabello,Unknown
42,"""Paris""",The Chainsmokers,"electronic, pop, House"
