Title,Artist,Chords
"""God's Plan""",Drake,"['C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'Em7', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'C', 'Em7']"
"""Perfect""",Ed Sheeran,"['G', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'G', 'D', 'G', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'G', 'D/F#', 'Em', 'D', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'G', 'D', 'G', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'G', 'G', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'G/B', 'C', 'Dsus4', 'D', 'G', 'G', 'D/F#', 'Em', 'D', 'C', 'D', 'G']"
"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,"['G', 'Am', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'Am', 'Em', 'C', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'G/F#', 'Em', 'C', 'G']"
"""Havana""",Camila Cabello featuring Young Thug,"['Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7', 'Em', 'C', 'B7']"
"""Rockstar""",Post Malone featuring 21 Savage,"['Cm', 'Gm', 'Gm', 'Bb', 'Eb', 'Gm', 'Gm', 'Bb', 'Gm', 'Bb', 'Eb', 'Gm', 'Gm', 'Bb', 'Eb', 'Gm', 'Bb', 'Eb', 'Gm', 'Bb', 'Eb', 'Gm', 'Eb', 'Gm', 'Bb', 'Eb', 'Gm', 'Gm', 'Bb', 'Gm', 'Bb', 'Eb', 'Gm', 'Bb', 'A', 'Eb', 'Gm', 'Bb', 'Eb', 'A', 'Gm', 'Gm', 'Bb', 'Eb', 'Eb', 'Gm', 'C', 'Eb', 'Bb', 'C', 'Gm', 'Bb', 'Eb', 'Gm', 'Gm', 'Bb', 'Gm', 'Bb', 'Eb', 'Gm', 'Gm', 'Eb', 'Gm', 'Gm', 'Gm', 'Gm']"
"""Psycho""",Post Malone featuring Ty Dolla Sign,not found
"""I Like It""","Cardi B, Bad Bunny and J Balvin",not found
"""The Middle""","Zedd, Maren Morris and Grey",not found
"""In My Feelings""",Drake,"['GM9', 'F#m7', 'GM', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'G', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'F#m7', 'F#m7', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9', 'F#m7', 'GM9']"
"""Girls Like You""",Maroon 5 featuring Cardi B,"['C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'C', 'F', 'G', 'F', 'G', 'F', 'G', 'C', 'C']"
