Title,Artist,Main_Harmony,Main_Interval_Harmony
"""God's Plan""",Drake,"(1, 2)","(-2, 2)"
"""Perfect""",Ed Sheeran,"(1, 5, 6, 4)","(-2, 4, -7, 5)"
"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,"(1, 1, 2, 6, 4)","(0, -2, 5, 4, -7)"
"""Havana""",Camila Cabello featuring Young Thug,"(1, 6, 5)","(4, -11, 7)"
"""Rockstar""",Post Malone featuring 21 Savage,"(5, 7, 3, 5, 5, 7)","(-3, 7, -4, 0)"
"""Psycho""",Post Malone featuring Ty Dolla Sign,not found,not found
"""I Like It""","Cardi B, Bad Bunny and J Balvin",not found,not found
"""The Middle""","Zedd, Maren Morris and Grey",not found,not found
"""In My Feelings""",Drake,"(7, 1)","(1, -1)"
"""Girls Like You""",Maroon 5 featuring Cardi B,"(5, 6, 3, 4, 1, 4, 5, 1)","(-2, 5, -1, 5, -5, -2, 7, -7)"
"""Nice for What""",Drake,"(4, 1, 4, 7)","(-7, 7, -5, 5)"
"""Lucid Dreams""",Juice Wrld,"(6, 5, 1, 7, 6, 5, 1, 1, 7, 6, 5, 1, 7, 6, 5)","(2, 2, 1, -5, 2, 2, 1, -1, 1, -5, 2, 2, 1, -5, 2, -2)"
"""Better Now""",Post Malone,"(1, 5, 3, 4)","(5, -8, 10, -7)"
"""Finesse""",Bruno Mars featuring Cardi B,not found,not found
"""Boo'd Up""",Ella Mai,not found,not found
"""New Rules""",Dua Lipa,not found,not found
"""Sad!""",XXXTentacion,"(1, 1, 6, 5)","(0, 3, -10, 7)"
"""Never Be the Same""",Camila Cabello,not found,not found
"""Love Lies""",Khalid and Normani,"(3, 1, 5)","(3, -7, 4)"
"""No Tears Left to Cry""",Ariana Grande,"(1, 6, 7)","(-2, -2, 4)"
"""Mine""",Bazzi,"(4, 1, 3, 1)","(5, -3, 3, -5)"
"""Thunder""",Imagine Dragons,"(1, 6, 4)","(5, -9, 4)"
"""Look Alive""",BlocBoy JB featuring Drake,"(1, 6)","(8, -8)"
"""Delicate""",Taylor Swift,"(6, 4, 1, 2)","(-2, -7, 4, 5)"
"""Yes Indeed""",Lil Baby and Drake,not found,not found
"""Friends""",Marshmello and Anne-Marie,"(6, 5, 5, 1, 3)","(-5, 1, 0, -5, 9)"
"""Bad at Love""",Halsey,"(1, 3, 2)","(2, 2, -4, 2, 7, -5, -4)"
"""Taste""",Tyga featuring Offset,not found,not found
"""Let You Down""",NF,"(5, 3)","(4, -4)"
"""No Limit""",G-Eazy featuring ASAP Rocky and Cardi B,not found,not found
"""Fefe""",6ix9ine featuring Nicki Minaj and Murda Beatz,not found,not found
"""Tequila""",Dan + Shay,"(1, 5, 2, 3)","(-7, 5, -2, 4)"
"""Feel It Still""",Portugal. The Man,"(1, 3, 4, 1)","(5, 0, -3, -2)"
"""MotorSport""","Migos, Nicki Minaj and Cardi B","(5, 5, 5, 5)","(0, 0, 0, 0)"
"""I Like Me Better""",Lauv,not found,not found
"""Youngblood""",5 Seconds of Summer,not found,not found
"""Whatever It Takes""",Imagine Dragons,"(7, 5, 1)","(5, -7, -2, 4)"
"""Ric Flair Drip""",Offset and Metro Boomin,"(1, 1, 5, 5)","(0, 5, 0, 0)"
"""I Fall Apart""",Post Malone,"(3, 6, 3, 7, 1)","(9, -5, 5, -7, -2)"
"""Pray for Me""",The Weeknd and Kendrick Lamar,not found,not found
"""Back to You""",Selena Gomez,not found,not found
"""Sicko Mode""",Travis Scott,"(0, 0, 0, 0)","(5, -5)"
"""Walk It Talk It""",Migos featuring Drake,not found,not found
"""Gucci Gang""",Lil Pump,"(1, 4)","(7, -7)"
"""Him & I""",G-Eazy and Halsey,not found,not found
"""In My Blood""",Shawn Mendes,"(4, 6, 4, 1)","(-5, 8, -8, 5)"
"""All the Stars""",Kendrick Lamar and SZA,not found,not found
"""Stir Fry""",Migos,"(6, 6, 6, 6)","(0, 0, 0, 0)"
"""Too Good at Goodbyes""",Sam Smith,"(1, 3, 7, 4)","(-7, 5, -7, 9)"
"""Love""",Kendrick Lamar featuring Zacari,"(1, 4)","(-5, 5)"
"""This Is America""",Childish Gambino,"(1, 0)","(-3, 3, -3, 3)"
"""Nonstop""",Drake,not found,not found
"""Heaven""",Kane Brown,"(1, 5, 3, 2)","(2, -7, 3, 2)"
"""Bodak Yellow""",Cardi B,"(1, 4, 1, 6)","(-5, 5, 4, -4)"
"""Freaky Friday""",Lil Dicky featuring Chris Brown,"(3, 2, 3, 7, 1)","(2, -2, 5, -1, -4)"
"""Gummo""",6ix9ine,not found,not found
"""Plug Walk""",Rich the Kid,"(1, 5, 6)","(-3, -7, 10)"
"""Wait""",Maroon 5,not found,not found
"""Be Careful""",Cardi B,"(1, 7, 3)","(1, -5, 4)"
"""Wolves""",Selena Gomez and Marshmello,"(7, 1, 3, 6)","(-2, -2, 9, -5)"
"""Bartier Cardi""",Cardi B featuring 21 Savage,"(1, 1, 6, 1)","(0, 4, -4, 0)"
"""God Is a Woman""",Ariana Grande,"(7, 6, 7, 4, 5, 1, 7, 1)","(-2, 2, 2, -2, 5, -2, -5, 2, -2, 2, 2, -2, 5, -2, -5, 0, 4, -2, -2, 0, 4, -2, -2, 0, 4, -2, -2, 2)"
"""Big Bank""","YG featuring 2 Chainz, Nicki Minaj and Big Sean",not found,not found
"""Sorry Not Sorry""",Demi Lovato,"(1, 6, 4, 5)","(4, 3, -2, -5)"
"""How Long""",Charlie Puth,not found,not found
