Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Shape of You""",Ed Sheeran,"(1, 4, 6, 7)","(-5, -3, -2, 10)"
"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,"(1, 6, 3, 7)","(4, 5, -7, -2)"
"""That's What I Like""",Bruno Mars,"(1, 1, 3, 4)","(0, -3, -2, 3)"
"""Humble""",Kendrick Lamar,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Something Just Like This""",The Chainsmokers and Coldplay,not found,not found
"""Bad and Boujee""",Migos featuring Lil Uzi Vert,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Closer""",The Chainsmokers featuring Halsey,"(2, 3, 2, 1)","(-2, -2, 2, 2)"
"""Body Like a Back Road""",Sam Hunt,"(1, 5, 6, 4, 1, 5, 1)","(5, -2, -8, 5, 5, -5, 0)"
"""Believer""",Imagine Dragons,"(6, 5, 1)","(4, 1, -5)"
"""Congratulations""",Post Malone featuring Quavo,"(1, 5)","(5, -5)"
"""Say You Won't Let Go""",James Arthur,"(1, 5, 6, 4)","(5, -2, 4, -7)"
"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne","(1, 6, 4, 5)","(3, 4, -2, -5)"
"""XO Tour Llif3""",Lil Uzi Vert,"(1, 6, 3, 7)","(4, 5, -7, -2)"
"""Mask Off""",Future,"(1, 2, 1, 6)","(8, -2, 2, -8)"
"""Unforgettable""",French Montana featuring Swae Lee,"(1, 3, 6, 5)","(-3, 7, 1, -5)"
"""24K Magic""",Bruno Mars,"(1, 4)","(-5, 5)"
"""Stay""",Zedd and Alessia Cara,"(2, 1, 3)","(2, 2, -4)"
"""Wild Thoughts""",DJ Khaled featuring Rihanna and Bryson Tiller,not found,not found
"""Black Beatles""",Rae Sremmurd featuring Gucci Mane,"(1, 6, 3, 7)","(4, 5, -7, -2)"
"""Starboy""",The Weeknd featuring Daft Punk,"(1, 7)","(2, -2)"
"""Location""",Khalid,"(7, 3, 6, 1)","(1, -5, 7, -3)"
"""Attention""",Charlie Puth,"(1, 7, 5, 6)","(2, -9, -1, 8)"
"""There's Nothing Holdin' Me Back""",Shawn Mendes,"(5, 2)","(-7, 7)"
"""Bodak Yellow""",Cardi B,"(1, 4, 1, 6)","(-5, 5, 4, -4)"
"""Redbone""",Childish Gambino,"(3, 1, 2)","(-2, -8, 10)"
"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,"(1, 5, 2, 3)","(5, -7, -2, 4)"
"""It Ain't Me""",Kygo and Selena Gomez,not found,not found
"""iSpy""",Kyle featuring Lil Yachty,"(1, 4)","(7, -7)"
"""Issues""",Julia Michaels,"(1, 2, 5, 3)","(-2, -5, 3, 4)"
"""Scars to Your Beautiful""",Alessia Cara,"(1, 3, 2, 1)","(-4, 2, 2, -4)"
"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,not found,not found
"""Slow Hands""",Niall Horan,"(5, 1, 6)","(-9, 2, 7, -9)"
"""Love on the Brain""",Rihanna,"(1, 2, 6, 5)","(5, 2, -5, -2)"
"""I Feel It Coming""",The Weeknd featuring Daft Punk,"(1, 4)","(7, -7)"
"""Bounce Back""",Big Sean,"(1, 4, 5)","(-5, -2, 7)"
"""Strip That Down""",Liam Payne featuring Quavo,"(5, 3, 5, 1)","(3, -3, -5, 5)"
"""Fake Love""",Drake,not found,not found
"""Don't Wanna Know""",Maroon 5 featuring Kendrick Lamar,"(6, 6, 1, 5)","(5, -2, 0, -3)"
"""Look What You Made Me Do""",Taylor Swift,"(1, 7, 6, 5)","(2, 2, 1, -5)"
"""Castle on the Hill""",Ed Sheeran,not found,not found
"""Bad Things""",Machine Gun Kelly and Camila Cabello,not found,not found
"""Paris""",The Chainsmokers,not found,not found
"""Side to Side""",Ariana Grande featuring Nicki Minaj,"(5, 7, 1)","(9, -2, -7)"
"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie,"(6, 7, 5, 1)","(-2, 3, -5, 4)"
"""Feel It Still""",Portugal. The Man,"(1, 3, 4, 1)","(5, 0, -3, -2)"
"""Let Me Love You""",DJ Snake featuring Justin Bieber,not found,not found
"""Sorry Not Sorry""",Demi Lovato,"(1, 6, 4, 5)","(4, 3, -2, -5)"
"""Bank Account""",21 Savage,"(2, 1, 1, 2)","(0, 2, 0, -2)"
"""Can't Stop the Feeling!""",Justin Timberlake,"(6, 4, 6, 1)","(-9, 4, -4, 9)"
"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,not found,not found
"""Thunder""",Imagine Dragons,"(1, 6, 4)","(5, -9, 4)"
"""T-shirt""",Migos,"(1, 3, 4)","(-3, -2, 5)"
"""Rake It Up""",Yo Gotti featuring Nicki Minaj,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Mercy""",Shawn Mendes,"(5, 4, 1, 3)","(-4, 2, 5, -3)"
"""Tunnel Vision""",Kodak Black,"(1, 3)","(-4, 4)"
"""Rockstar""",Post Malone featuring 21 Savage,"(5, 7, 3, 5, 5, 7)","(-3, 7, -4, 0)"
"""In Case You Didn't Know""",Brett Young,"(1, 5, 6, 5)","(5, -2, 2, 2)"
"""Heathens""",Twenty One Pilots,"(1, 5, 3)","(5, 4, -9)"
"""Now or Never""",Halsey,"(1, 3, 2, 6)","(-4, 2, -7, 9)"
"""Caroline""",Aminé,not found,not found
"""Rolex""",Ayo & Teo,"(1, 5, 1, 4)","(5, -5, 7, -7)"
"""DNA""",Kendrick Lamar,"(0, 1, 0)","(-2, -1, 3, -2, 2)"
"""Juju on That Beat (TZ Anthem)""",Zay Hilfigerrr & Zayion McCall,not found,not found
"""Swang""",Rae Sremmurd,"(1, 3, 4, 5)","(-3, 10, -2, -5)"
"""Passionfruit""",Drake,"(1, 6, 7, 2, 1)","(3, -2, -3, 2, 0)"
"""Loyalty""",Kendrick Lamar featuring Rihanna,"(5, 1, 5)","(-7, 0, 7, -7, 7)"
"""Praying""",Kesha,"(0, 0, 3)","(2, -5, 3)"
"""Goosebumps""",Travis Scott,"(1, 6, 4, 5)","(4, -9, -2, 7)"
